l,Business Name,AUM,First Name,Last Name,Role,Linkedin,
https://www.linkedin.com/company/bitstamp/,Bitstamp,"1,939,187,642.16",JB ,Graftieaux ,Chief Executive Officer,https://www.linkedin.com/in/jb0001/?originalSubdomain=lu,
https://veda.tech,Veda,"1,883,013,871.52",Joseph ,Terrigno,Co-Founder,https://www.linkedin.com/in/joseph-terrigno/,
https://veda.tech,Veda,"1,883,013,871.52",Sunand ,Raghupathi,Co-Founder,https://www.linkedin.com/in/sunand-raghupathi/,
https://jito.network,Jito Liquid Staking,"1,870,235,025.57",Brian ,Smith,President,https://www.linkedin.com/in/brian-smith-00431288?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABKOQoQBAIJL7qtd37EMDp6mEjw2RxgVmR4&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B0d0090d1-9205-4c26-8b8e-30a021e3c54d,
https://rocketpool.net,Rocket Pool,"1,856,084,336.19",Darren ,Langley,General Manager,https://www.linkedin.com/in/darren-langley-12a03825?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUqebIBcyq7szGL3aHhcLTGwd_sBgARoZE&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B5f4ea4d1-afee-4e69-93b4-dc54650bfefe,
https://obol.org/,Obol,"1,776,428,682.59",Michael ,Schwartz,Co-Founder & CEO,https://www.linkedin.com/in/michael-shomer-schwartz/?originalSubdomain=il,
https://obol.org/,Obol,"1,776,428,682.59",Aviv ,Sadra,Co-Founder,https://www.linkedin.com/in/avivsadra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABhucwkBMm5glpDv7l_iG4e9wV8xSQ9SfqM&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B232ccdd2-e90d-4474-8149-1cf94a5003e5,
https://obol.org/,Obol,"1,776,428,682.59",Michael ,Schwartz,Co-Founder & CEO,https://www.linkedin.com/in/michael-shomer-schwartz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADXg3QkBhqZPQqYkb4kuwtL83HNSiMnKssY&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B232ccdd2-e90d-4474-8149-1cf94a5003e5,
https://doublezero.xyz/,DoubleZero Staked SOL,"1,757,821,579.67",Austin ,Federa,Co-Founder,https://www.linkedin.com/in/austin-federa/,
https://doublezero.xyz/,DoubleZero Staked SOL,"1,757,821,579.67",David ,McIntyre,COO ,https://www.linkedin.com/in/dmcintyre1?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAbLf-EBzUfUs9n0efK4sCxv9g9DKaKeZX8&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3Bb57d720c-9405-4065-a2f5-3d01a8795e98,
