l,Business Name,AUM,First Name,Last Name,Role,Linkedin,Source
https://v3-app.compound.finance/,Compound V3,"1,666,126,960.56",Robert,Leshner,Co-Founder,https://www.linkedin.com/in/robert-leshner/,https://www.crunchbase.com/person/robert-leshner
https://v3-app.compound.finance/,Compound V3,"1,666,126,960.56",Geoffrey,Hayes,Co-Founder & CTO,https://www.linkedin.com/in/geoffrey-hayes-a0b0952a/,https://www.crunchbase.com/person/geoffrey-hayes
https://app.venus.io/#/core-pool,Venus Core Pool,"1,536,454,270.06",Joselito,Lizarondo,Founder,https://www.linkedin.com/in/joselitolizarondo/,https://pontem.network/posts/a-deep-dive-into-the-venus-protocol
https://app.venus.io/#/core-pool,Venus Core Pool,"1,536,454,270.06",Brad,Harrison,CEO Venus Labs,https://www.linkedin.com/in/bradharrison,https://theorg.com/org/venus/org-chart/brad-h
https://raydium.io,Raydium AMM,"1,499,196,238.01",Timon,Peng,Co-Founder,https://www.linkedin.com/in/timonpeng/,https://www.crunchbase.com/organization/raydium
https://app.lighter.xyz/trade/ETH?referral=FHT1N8AYKHP4,Lighter Bridge,"1,421,120,502.61",Vladimir,Novakovski,Founder & CEO,https://www.linkedin.com/in/vnovakovski/,https://fortune.com/2025/11/11/lighter-fundraise-founders-fund-ribbit-capital-haun-ventures-robinhood-vladimir-novakovski/
https://app.concrete.xyz,Concrete,"957,231,455.14",Nic,Roberts-Huntley,Co-Founder & CEO,https://www.linkedin.com/in/nicrh,https://fortune.com/crypto/2024/02/15/blueprint-finance-concrete-protocol-defi-credit/
https://app.concrete.xyz,Concrete,"957,231,455.14",Dillon,Liang,Co-Founder & CSO,https://www.linkedin.com/in/dillsl/,https://fortune.com/crypto/2024/02/15/blueprint-finance-concrete-protocol-defi-credit/
https://usdtb.money,Ethena USDtb,"850,869,599.44",Guy,Young,Founder & CEO,https://www.linkedin.com/in/guy-young-a11914279/,https://iq.wiki/wiki/guy-young
https://usdtb.money,Ethena USDtb,"850,869,599.44",Conor,Ryder,Head of Research,https://ie.linkedin.com/in/conor-ryder-cfa-82261b112,https://theorg.com/org/ethena-labs/org-chart/conor-ryder
https://www.asterdex.com/en/referral/c6eF10,Aster Bridge,"804,205,591.64",,,[ANONYMOUS - CEO known as "Leonard"],,https://www.ccn.com/news/crypto/behind-asters-rise-is-its-mysterious-ceo-known-simply-as-leonard/
https://kinetiq.xyz/stake,Kinetiq kHYPE,"781,625,046.61",,,[ANONYMOUS - Co-Founder known as "Omnia"],,https://iq.wiki/wiki/kinetiq-staked-hype-khype
https://starkgate.starknet.io,Starknet Bridge,"753,902,497.97",Eli,Ben-Sasson,Co-Founder & CEO StarkWare,https://il.linkedin.com/in/eli-ben-sasson-9b7959,https://en.wikipedia.org/wiki/StarkWare_Industries
https://starkgate.starknet.io,Starknet Bridge,"753,902,497.97",Uri,Kolodny,Co-Founder StarkWare,https://il.linkedin.com/in/urikolodny,https://starkware.co/about-us/
https://www.methprotocol.xyz/,mETH Protocol,"732,495,689.46",Jordi,Alexander,Chief Alchemist Mantle,https://sg.linkedin.com/in/jordialexndr,https://iq.wiki/wiki/jordi-alexander
https://www.methprotocol.xyz/,mETH Protocol,"732,495,689.46",Ben,Zhou,Co-Founder & CEO Bybit/Mantle backer,https://sg.linkedin.com/in/ben-zhou-b979ba28,https://cointelegraph.com/learn/articles/who-is-ben-zhou
https://app.renzoprotocol.com/restake,Renzo,"654,544,778.47",Lucas,Kozinski,Co-Founder,https://www.linkedin.com/in/lucas-kozinski-9931a020/,https://iq.wiki/wiki/lucas-kozinski
https://app.renzoprotocol.com/restake,Renzo,"654,544,778.47",James,Poole,Co-Founder & CTO,https://www.linkedin.com/in/james-poole-5518871/,https://www.crunchbase.com/person/james-poole-2
https://free.tech/,Free Protocol,"538,979,456.59",,,[ANONYMOUS - Team fully undisclosed],,https://defillama.com/protocol/free-protocol
https://merlinchain.io/bridge/staking,Merlins Seal,"556,074,439.84",Jeff,Yin,Founder & CEO,[NOT FOUND - uses @aspect_jeff on X],https://www.crunchbase.com/person/jeff-yin-924e
https://threshold.network/,tBTC,"555,595,077.47",Matt,Luongo,Founder & CEO Thesis,https://www.linkedin.com/in/mattluongo/,https://iq.wiki/wiki/matt-luongo
https://threshold.network/,tBTC,"555,595,077.47",MacLane,Wilkison,Co-Founder NuCypher/Threshold,https://www.linkedin.com/in/maclane-wilkison-67770a13,https://www.crunchbase.com/person/maclane-wilkison
https://lightning.network/,Lightning Network,"477,329,176.11",Thaddeus,Dryja,Co-Creator (whitepaper),https://www.linkedin.com/in/thaddeus-dryja-29620b53,https://voltage.cloud/blog/who-invented-the-lightning-network
https://lightning.network/,Lightning Network,"477,329,176.11",Elizabeth,Stark,Co-Founder & CEO Lightning Labs,[NOT CONFIRMED - search LinkedIn for Elizabeth Stark Lightning Labs],https://www.crunchbase.com/person/elizabeth-stark
https://cian.app,CIAN Yield Layer,"470,586,672.14",Luffy,He,Founder & CEO,https://nl.linkedin.com/in/luffy-he-116a7410,https://www.gate.com/learn/articles/a-comprehensive-guide-to-cian/6936
https://yearn.fi/,Yearn Finance,"431,057,476.97",Andre,Cronje,Founder,https://za.linkedin.com/in/andre-cronje,https://coinmarketcap.com/academy/people/andre-cronje
https://usdd.io/,USDD,"390,236,260.54",Justin,Sun,Founder TRON & USDD,https://ch.linkedin.com/in/justinsuntron,https://www.businesswire.com/news/home/20220420005462/en/
https://gmxsol.io/,GMX Perps,"391,853,163.30",,,[ANONYMOUS - Lead dev pseudonym @xdev_10],,https://beincrypto.com/learn/gmx-crypto/
https://tydro.com/,Tydro,"359,927,061.83",Andrew,Koller,Founder of Ink (parent chain),https://www.linkedin.com/in/andrewkoller/,https://www.theblock.co/post/374756/kraken-incubated-ethereum-l2-ink-rolls-out-tydro
https://app.hyperlend.finance/?ref=DEFILLAMA,HyperLend Pooled,"345,847,027.54",,,[ANONYMOUS - Team not publicly disclosed],,https://www.rootdata.com/Projects/detail/HyperLend
https://www.unirouter.io,UniRouter,"342,791,194.32",,,[ANONYMOUS - Team operates pseudonymously],,https://docs.unirouter.io/dataroom/team
https://makerdao.com/en/,Sky RWA,"92,892,884.72",Rune,Christensen,Co-Founder & CEO,https://dk.linkedin.com/in/runebentsenchristensen,https://www.crunchbase.com/person/rune-christensen
https://multichain.org/,Multichain,"92,697,516.75",Zhaojun,He,Co-Founder & CEO (arrested May 2023),[NOT FOUND],https://www.coindesk.com/business/2023/05/31/crypto-bridging-protocol-multichain-unable-to-contact-ceo-zhaojun
https://stake.link/staking-pools,stake.link liquid,"89,684,891.47",Jonny,Huxtable,Co-Founder & Tech Lead,https://uk.linkedin.com/in/jonnyhux,https://chainlinktoday.com/diving-into-linkpool-with-co-founder-jonny-huxtable/
https://connext.network/,Connext,"282,002,544.63",Arjun,Bhuptani,Founder & CEO,https://www.linkedin.com/in/arjunbhuptani,https://www.crunchbase.com/person/arjun-bhuptani
https://connext.network/,Connext,"282,002,544.63",Layne,Haber,Co-Founder,https://www.linkedin.com/in/layne-haber-41572889/,https://theorg.com/org/connext/org-chart/layne-haber
https://defisaver.com/,Defi Saver,"280,058,482.97",Nenad,Palinkasevic,Co-Founder & Project Owner,https://www.linkedin.com/in/nenad-palinkasevic/,https://thedefiant.io/news/defi/five-years-of-building-in-defi-the-story-of-defi-saver
https://defisaver.com/,Defi Saver,"280,058,482.97",Nikola,Jankovic,Co-Founder,https://www.linkedin.com/in/nikola-jankovic-4247c/,https://thedefiant.io/news/defi/five-years-of-building-in-defi-the-story-of-defi-saver
https://www.agglayer.dev/agglayer-vaultbridge,Vault Bridge,"260,649,662.41",Sandeep,Nailwal,Co-Founder Polygon/AggLayer,https://www.linkedin.com/in/sandeep-nailwal-60709a33/,https://www.entrepreneur.com/en-in/news-and-trends/agglayer-will-stand-the-test-of-time-sandeep-nailwal
https://aero.drome.eth.limo/,Aerodrome Slipstream,"248,152,213.48",Alexander,Cutler,Co-Founder,https://uk.linkedin.com/in/alexandercutleruk,https://iq.wiki/wiki/alexander-cutler
https://yieldbasis.com/,Yield Basis,"208,161,316.36",Michael,Egorov,Founder (also Curve founder),https://www.linkedin.com/in/michael-egorov/,https://www.coindesk.com/business/2025/09/26/curve-finance-founder-michael-egorov-launches-bitcoin-yield-protocol
https://infrared.finance,Infrared Finance,"221,186,145.97",,,[ANONYMOUS - CEO pseudonym "Raito"],,https://www.theblock.co/post/344455/berachain-infrared-series-a-token-round
https://www.b14g.xyz/,b14g,"234,047,352.68",,,[ANONYMOUS - Team fully undisclosed],,https://docs.b14g.xyz
https://homora.org/,Homora,"110,273,717.07",Tascha,Punyaneramitdee,Co-Founder & CEO,https://www.linkedin.com/in/tascha-panpan/,https://www.crunchbase.com/person/tascha-punyaneramitdee
https://homora.org/,Homora,"110,273,717.07",Nipun,Pitimanaaree,Co-Founder & Lead Engineer,https://www.linkedin.com/in/nipunpitimanaaree/,https://www.cypherhunter.com/en/p/nipun-pitimanaaree/
https://app.marginfi.com,marginfi Lending,"108,957,912.19",Edgar,Pavlovsky,Founder (resigned April 2024),https://www.linkedin.com/in/edgarpavlovsky/,https://www.coindesk.com/tech/2024/04/11/marginfi-leader-resigns-on-fiery-day-for-major-solana-lender/
https://railgun.org,Railgun,"100,131,691.88",Alan,Scott,Co-Founder,[NOT FOUND - privacy-focused project],https://www.dlnews.com/articles/defi/railgun-co-founder-talks-crypto-privacy-and-tornado-cash/
https://springsui.com/,SpringSui,"133,490,492.02",Rooter,,Founder (pseudonym),https://www.linkedin.com/in/0xrooter/,https://www.coindesk.com/business/2024/12/05/suilend-plots-new-crypto-finance-services-on-sui/
https://tectonic.finance/,Tectonic,"130,937,566.15",Gary,Or,Founder (via Particle B incubator),https://hk.linkedin.com/in/pinglamb,https://blog.cronos.org/p/cronos-ecosystem-spotlight-tectonic
https://www.reservoir.xyz,Reservoir Protocol,"78,252,578.23",Peter,Watts,Co-Founder & CEO,https://au.linkedin.com/in/peter-watts-45361336b,https://www.theblock.co/post/338994/token-trading-reservoir-funding
https://www.reservoir.xyz,Reservoir Protocol,"78,252,578.23",Jason,Maier,Co-Founder & COO,https://www.linkedin.com/in/jason-maier-93081230/,https://fortune.com/crypto/2025/02/05/union-square-ventures-leads-14-million-round-in-reservoir/
