freq	followers	following	handle	name	verified	owners	desc
5	0	0	ltrd_	ltrd	False	ArturSepp,DrDavidSimic,annanay,gametheorizing,mikevanrossum	I just think deeply about simple things.
5	0	0	0xShitTrader	Eugene Chen	False	ArturSepp,Quantaraum,annanay,gametheorizing,mikevanrossum	CEO @ellipsis_labs
4	0	0	systematicls	sysls	False	ArturSepp,bookdepth,gametheorizing,mikevanrossum	All in @openforage. I thrived in all of the largest hedge funds managing systematic investment processes.
4	0	0	__paleologo	Gappy (Giuseppe Paleologo)	False	ArturSepp,DrDavidSimic,bookdepth,cardosofede	Gen Z boy in a Gen X body.  Pronounciation: Jew ZEP peh (NOT pay!) Pah lay AW! low go.  Sister account: @yogappygappy.
4	0	0	mr_plumpkin	Mr Plumpkin	False	DrDavidSimic,annanay,bookdepth,mikevanrossum	founder, @variational_io. ex-quant.
4	0	0	BeatzXBT	BeatzXBT	False	DrDavidSimic,anthdm,bookdepth,mikevanrossum	wannabe MM | python maxi | 2nd YR CS UG
4	0	0	skyquake_1	illiquidity providooooor	False	DrDavidSimic,extendedapp,gametheorizing,mikevanrossum	Never trade Luck for Skill.  Everything I say is financial, legal, and medical advice @extendedapp advisooor
4	0	0	steipete	Peter Steinberger 🦞	False	GrantStenger,Quantaraum,anthdm,mikevanrossum	Polyagentmorous ClawFather. Came back from retirement to mess with AI and help a lobster take over the world. @OpenClaw🦞 + @OpenAI
4	0	0	SoskaKyle	Kyle Soska	False	GrantStenger,Quantaraum,annanay,anthdm	CIO of Ramiel Capital (@ThinkingUSD)  Cryptocurrency Researcher at Carnegie Mellon University (https://t.co/hp8oZswctC)
4	0	0	HadickM	Rob Hadick ＞|＜	False	Quantaraum,annanay,bookdepth,gametheorizing	General Partner at @Dragonfly_xyz | Previously investing and advising at GoldenTree, @GoldmanSachs, and @PJTPartners
4	0	0	TheFlowHorse	Horse	False	annanay,anthdm,cardosofede,mikevanrossum	Former prop trader, dad to two girls, husband to one of those horse ladies, founder of @tradingstable. Markets, flows, and trends.
