# score	handle	total_eng	n_tweets	followers
7081	@hyperevm_cn	2135	11	11032
2670	@btcniumowang	1335	4	16408
2354	@pwenzhen76938	1177	4	32722
2330	@dov_wo	1345	3	33334
2215	@webktsr	1279	3	40107
1778	@xiaomustock	1257	2	253580
1588	@guomin184935	917	3	63799
1515	@dashubtc	1071	2	20441
1367	@lubijiaocheng	789	3	25517
1337	@mr_qiang777	598	5	15123
1225	@gamefilabs	866	2	10261
1150	@domingo_gou	813	2	41941
1133	@fls_otc	801	2	102038
1048	@tinghu888	524	4	145171
1013	@thecryptoskanda	716	2	54381
963	@blocktvbee	681	2	30797
916	@pjjin574832	648	2	18398
910	@vanisaxxm	455	4	9719
909	@crypto_pumpman	643	2	35109
907	@formnoshape	641	2	19775
