# score	handle	total_eng	n_tweets	followers
459842	@n3umu	173804	7	20754
396092	@zetu_rrr	161704	6	50740
59291	@tokumei_6_6	41925	2	7198
18704	@zanengineer	13226	2	125085
17108	@hibitti	5410	10	5201
11740	@fire60028219	5870	4	208046
8210	@agasa_kabu	1935	18	7580
4267	@roaneatan	3017	2	134392
4084	@fireeeeeeeeerif	2358	3	10320
4082	@kiseki_okoru	1543	7	10619
3431	@coin_post	917	14	207603
2845	@fx45540575	789	13	12359
1807	@jojo_en_jokalbi	1278	2	572
1802	@gmx_io	570	10	223769
1777	@sou_btc	1026	3	148745
1739	@kabu_st0ck	1230	2	104777
1734	@fire_2025_	1226	2	36280
1734	@riorio1412	1001	3	18227
1700	@socialwelfare5	1202	2	9744
1690	@salon_koichi_n	1195	2	1141
