# second-pass perps JP — JP leverage culture, DEX bridge, group discovery
仮想通貨 おすすめアカウント min_faves:10 lang:ja	Top	account-list discovery
仮想通貨 トレーダー フォロー min_faves:10 lang:ja	Top	account-list discovery
清算マップ min_faves:5 lang:ja	Top	liquidation map
ロスカット 仮想通貨 min_faves:10 lang:ja	Top	liquidation pain
追証 地獄 min_faves:10 lang:ja	Top	margin-call pain
資金調達率 套利 min_faves:5 lang:ja	Top	funding arb
パープス 比較 min_faves:5 lang:ja	Top	perp comparison
DEX 先物 仮想通貨 min_faves:5 lang:ja	Top	DEX futures bridge
ハイパーリキッド 使い方 min_faves:5 lang:ja	Top	tutorial format
ハイリキ min_faves:5 lang:ja	Both	native abbreviation
ポジション 公開 仮想通貨 min_faves:5 lang:ja	Top	position reveal
損切り ルール min_faves:10 lang:ja	Top	discipline format
爆益 報告 仮想通貨 min_faves:10 lang:ja	Top	PNL proof
トレード日記 仮想通貨 min_faves:5 lang:ja	Top	trading journal
米国株 先物 仮想通貨 min_faves:10 lang:ja	Top	RWA bridge
