# perps DEX JP — note JP CT smaller; min_faves lower. lang:ja.
ハイパーリキッド min_faves:20 lang:ja	Both	HL katakana
hyperliquid min_faves:30 lang:ja	Both	HL romaji in JP posts
パープ DEX min_faves:10 lang:ja	Latest	category katakana
無期限 先物 min_faves:10 lang:ja	Top	perpetual futures formal
資金調達率 min_faves:10 lang:ja	Top	funding rate
清算 ロング min_faves:10 lang:ja	Top	liquidation
レバレッジ 仮想通貨 min_faves:20 lang:ja	Top	leverage crypto
ロング ショート 仮想通貨 min_faves:20 lang:ja	Top	long/short
爆損 min_faves:30 lang:ja	Top	big-loss culture (loss-porn)
爆益 min_faves:30 lang:ja	Both	big-win culture
養分 トレード min_faves:10 lang:ja	Top	exit-liquidity self-deprecation
追証 min_faves:20 lang:ja	Top	margin call (CEX term, culture carryover)
仮想通貨 トレード 手法 min_faves:5 lang:ja	Top	method/tutorial format
ビットコイン 先物 min_faves:20 lang:ja	Top	BTC futures general
デイトレ 仮想通貨 min_faves:20 lang:ja	Top	day-trading niche
損切り min_faves:30 lang:ja	Top	stop-loss discipline content
ポジション 公開 min_faves:10 lang:ja	Top	position-reveal format
トレード 記録 min_faves:10 lang:ja	Top	trade-journal format
億り人 min_faves:30 lang:ja	Top	"100M-yen person" aspiration culture
GMX OR dydx min_faves:10 lang:ja	Top	other venues in JP
