# second-pass perps KR — futures culture, group discovery, repeatable surfaces
코인 추천 계정 min_faves:10 lang:ko	Top	account-list discovery
코인 트레이더 팔로우 min_faves:10 lang:ko	Top	account-list discovery
청산맵 min_faves:5 lang:ko	Top	liquidation map
청산 당했다 코인 min_faves:10 lang:ko	Top	loss story
펀딩비 차익거래 min_faves:5 lang:ko	Top	funding arb
선물 매매일지 min_faves:10 lang:ko	Both	trading journal
선물 복기 코인 min_faves:5 lang:ko	Both	trade recap
손절 원칙 min_faves:10 lang:ko	Top	discipline format
수익 인증 선물 min_faves:10 lang:ko	Top	PNL proof
고래 포지션 코인 min_faves:5 lang:ko	Top	whale-position format
하이퍼리퀴드 사용법 min_faves:5 lang:ko	Top	tutorial bridge
하이퍼리퀴드 순위 min_faves:5 lang:ko	Top	leaderboard format
디파이 선물 거래소 min_faves:5 lang:ko	Top	DEX futures category
코인 정보격차 min_faves:5 lang:ko	Top	info-arbitrage
미국주식 선물 코인 min_faves:10 lang:ko	Top	RWA bridge
