# score	handle	total_eng	n_tweets	followers
211171	@mazijx	79815	7	116677
16965	@binancezh	7587	5	453360
11668	@zoozo2025	2830	17	10098
7990	@xiaoshunli	2825	8	37893
7623	@iiii1874	4401	3	965
6771	@xtony1314	2257	9	98577
6536	@sizhe_bitcat	4622	2	68761
6519	@fls_otc	3764	3	102038
5201	@dtdt666	2326	5	206975
3930	@baispx	2779	2	19379
3893	@0xkevin00	2753	2	65784
3640	@qkl2058	1287	8	68143
3630	@chaozuoye	2567	2	60657
3448	@mubeitech	2438	2	67097
3279	@huahuayjy	1893	3	298612
2950	@jason_chen998	1703	3	118325
2605	@big_pss	1842	2	67487
2462	@waveking1314	1101	5	54182
2384	@gmgnai	901	7	126364
2240	@kuk47377341	1120	4	20823
