# score	handle	total_eng	n_tweets	followers
300693	@xeffy_io	212622	2	124856
24615	@jr5_crypto	5248	22	78350
14853	@mrsolexpert_1	5614	7	64051
10550	@chooserich	5275	4	286143
10154	@thisisseunn	7180	2	12428
8226	@solanahub_	3679	5	15136
6802	@lyxxarc	4810	2	12660
6709	@all3in4out	2372	8	25059
6614	@ry_king4252	3307	4	40574
6170	@julianjackhamer	3085	4	12915
5966	@coldtrz	2983	4	36726
4838	@dropnaut	1975	6	4039
4665	@thememeshunterx	3299	2	9534
4466	@pumpfuneco	2233	4	39428
4014	@datac58218	1795	5	21196
3707	@cryptoze	2621	2	75491
3675	@cryptoking_2020	2122	3	103264
3370	@tier1haterr	1507	5	12840
3250	@habibk79	1625	4	5642
3148	@hijabieth	2226	2	59102
