score	followers	handle	seeds	name	bio
5	1558	littlevolswan	quantymacro	bigVolSwan	equity options trader. sell gamma til u blow up; then change firm. languages spoken: greeks (delta gamma theta rho) + fortran
4	73191	husslin_	0xLoris,quantymacro	huss 🌊 🟦	“bet more” // quant fund founder // ex tradfi MM, ex investment banker // microstructure+hft nerd // Saudi, Chicago // @UChicagoAlumni
4	3776	josusanmartin	0xLoris	Josu San Martin	I'm just an LLM wrapper. Founder at Sixtant, delta-neutral algo trading and market making firm. Byzantine fault tolerant.
3	11027	saeedamenfx	quantymacro	Saeed	FX quant macro/Python/burgers. Co-founder: @turnleafan forecasting inflation with ML. Founder: @cuemacro. Books: Trading Thalesians, Book of Alternative Data.
3	1850	dradrian	quantymacro	Adrian Letchford	Quant 🤓 - Data Scientist 📈 - Engineer 🏗️ - Editor at https://t.co/PGxDoXnZhK 📝 - I do maths and engineering around financial markets - Sometimes works out.
3	25732	hangukquant	quantymacro	HangukQuant	🇰🇷 crypto MFT/HFT. quant research and quant dev. not financial advice. 🔗 https://t.co/HlaqCGWX4w
3	197273	matthuang	0xLoris	Matt Huang	founder @paradigm, founder @tempo, board member @stripe, building & investing at the frontier
3	27982	anthdm	0xLoris	Anthony GG	Former exchange engineer & market maker. Now CEO @MMT_Official_, building charting and orderflow tech for the next decade.
3	22433	pelioncap	0xLoris	TS	Crypto Vol | Founder Pelion Capital (FO) | Deribit Forensics | AD Advisor. 30+yr Options | Ex-MS-Head of Trading desk. Tweets my opinion not financial advice.
2	4827	g3ni3swish	0xLoris,quantymacro	Rohan 🦆	Quant | HFT | MM
2	3223	hftgod	0xLoris,quantymacro	yang	ex-cambridge HFT quant. probably better than you at math.
2	5836	armv7lfx	quantymacro	Armv7l	doing quant stuff on crypto, HFT & MM enjoyer. Cooking tomorrow prediction market @likelypred
2	19505	beniduboss	quantymacro	Benoit Dubosson	Co-founder of Shaira AI, building novel efficiency infrastructure for LLMs | Chasing the solved state of things | Former Quant | Based in beautiful 🇨🇭
2	3246	echanqt	quantymacro	Ernest Chan	Author of Quantitative Trading, Algorithmic Trading, and Machine Trading https://t.co/gdKGb61nZD. Founder of https://t.co/nTFUmTXTJ1 and QTS Capital Management https://t.co/o95vaesNQ1.
2	27117	richardcraib	quantymacro	Richard Craib	founder of quant hedge fund @numerai use frontier AI to predict the stock market https://t.co/VaO9T4dMRk
2	8818	onehotcode1	quantymacro	OnlyFund ( top 0.01% on Bloomberg IB)	Mercenary at your local Multistrat hedge fund. HF recruiters' wet dream... In between gardening leaves.  “Vega hurts, gamma kills” - Lehman's floor (circa 2003)
2	3786	mr_plumpkin	0xLoris,quantymacro	Mr Plumpkin	founder, @variational_io. ex-quant.
2	1624	malort_hft	quantymacro	steezy	35=0|market ops|prop trading and market microstructure
2	7557	objrandom	quantymacro	Objectively Random	Algo Trading, Strat, Macro. Math PhD (Erdős 3). Hon Reader@UCL. Created MSc Algo Trading (‘17-now), & teaching online. Too much street-side experience to list.
2	2037	gautiermarti1	quantymacro	Gautier Marti	#AI #Quant #MachineLearning #DeepLearning #NLP #QuantitativeTrading #StatArb #ADML #HKML #trailrunning
2	8259	totlsota	0xLoris,quantymacro	π* | ¤	{quant trading, defi, hft, ml} perma-learning in high-dim space trading @ https://t.co/uc7Jk1mDjH
2	50626	0xdoug	0xLoris,chameleon_jeff,quantymacro	Doug Colkitt	Founder @ambient_finance Founding contributor @fogo Ex: Quant
2	11900	0xlightcycle	0xLoris,quantymacro	Lionel Lightcycle	crypto quant | on-chain pvp | rated 9.999916/10 by hot market makers
2	16352	crypto_hades	0xLoris,quantymacro	rbit	Crypto since 2011. Quant trading, statarb, HFT.
2	118169	phtevenstrong	0xLoris	Stephen | DeFi Dojo	"The Calculator Guy" Founder of DeFi Dojo Co-Founder of Mezzanine "A truffle sniffer, but for yields." Wildly Christian | Father of Four
2	1630	drdavidsimic	0xLoris	David Simic	Crypto market making & quant research | Recovering physicist, ex-Citadel | Building @botfedai
2	3995	dima_null	0xLoris	dima | N1	Cofounder and CEO of @N1Chain  prev: founder of @01Exchange (circa 2021)
2	17707	hal2001	0xLoris,chameleon_jeff	hal2001.hl	DeFi + web3 + financial engineering. Cofounder @AcrossProtocol @UMAprotocol; prev @GoldmanSachs, CS @Columbia, 🇨🇦
2	8105	alvinhsia	0xLoris	Alvin Hsia	cofounder + ceo @ventuals, eir @paradigm
2	38393	volsignals	0xLoris	VolSignals	Career SPX market maker.  See how options move markets with VS3D™ by VolSignals— the only dealer hedging flows platform built entirely by market makers.
2	114228	therealchaseeb	0xLoris	chase	founder eco growth @SolanaFndn | mentoring founders @SuperteamBlack | here for a long time, not for a good time | @solanamobile enjoyer
2	37390	gte_xyz	0xLoris	GTE	The Internet Exchange.   Powered by Turbo, a high-throughput, low latency blockchain and exchange.  Backed by top institutions, market makers, and you.
2	1395	anti__capital	0xLoris	Anti Capital - Join the BEST, if you are	High Frequency Trading, Market Making & Venture Capital Investment
2	4636	degenquant	0xLoris	DGN Quant	—— Quant Dev | Crypto hft  —— “Give a man an alpha, feed him for a day. Teach a man to find alpha, feed him for a lifetime."
2	7902	0x9212ce55	0xLoris	0xprincess	mev extracting unicorn | founder @nuconstruct
2	3406	0xtaker	0xLoris	Taker	market microstructure kind of guy. mev https://t.co/1zA6rJJ2r0
2	18785	adi_baradwaj	0xLoris	Adi	Founder @Astra_Markets, Ex-@AlamedaResearch engineer. Prev: @Google, @UCBerkeley.   https://t.co/yd2l58oRcv
2	14936	denisyarats	chameleon_jeff	Denis Yarats	Cofounder & CTO @perplexity_ai
1	44356	doodlestein	quantymacro	Jeffrey Emanuel	Former Quant Investor | My Open Source Projects: https://t.co/9qbOCDlaqM | Try https://t.co/oCtjI2mBIl , my collection of agent coding tooling.
1	5306	vivekvrao1	quantymacro	Vivek V Rao	Former equity derivatives quant at SIG and @BainCapital, data analyst at Solum Partners, chess IM, Python/R/C++ coder, LinkedIn vivek-rao-a16336
1	4677	ringwraith10	0xLoris,quantymacro	walter	cofounder @hypergambitx @embrdotfun ||  🎓 @gauntlet_xyz
1	49031	tleilax___	quantymacro	Yet another commodity guy	Commodity Portfolio Manager - Systematic mid-frequency futures & options - Switzerland - Options - Quantitative trading - Data driven
1	8549	annanay	0xLoris,quantymacro	ak0	Founder and CEO @QFEX
1	14886	colegottweets	quantymacro	Cole Kennelly	Founder & CEO @volmexfinance Labs, building the leading crypto benchmark index company. Not financial advice. $BVIV $BVUS $EVIV $SVIV $BVPR $BDLR
1	3290	lightconexyz	quantymacro	Lightcone	The impact markets platform; Look and trade INSIDE the future. Launching soon (notifications!).  Hiring:  Staff Rust Engineer
1	2626	quantzilla34	quantymacro	Quantzilla	A Random Quant
1	6923	movietimedev	quantymacro	MovieTime	health maxi. Angel, investing in the future. Founder @PredictParity
1	5139	junbug_sol	quantymacro	Jun | bulk trade	Co-founder @bulktrade building world’s fastest exchange   来财，来， 来财，来
1	5011	defiance_cr	quantymacro	Daniel Sapkota	cofounder @lightconexyz
1	2762	0xsnarks	0xLoris,quantymacro	the protagonist	Founder @tradewithOnyx prev. @sentimentxyz
1	103505	derivexyz	quantymacro	Derive.xyz	Derive (prev. Lyra) | The Leading Onchain Options Platform w/BTC, ETH & HYPE.   Deep liquidity. Seamless onboarding. Lowest fees.  Institutional-grade custody.
1	18567	pauliepunt	quantymacro	Paul	Founder @Plasma 🕊️
1	24690	kinetiq_xyz	chameleon_jeff,quantymacro	Kinetiq	Powering Liquid Staking and @Markets_xyz on Hyperliquid.  X by @KinetiqFND
1	15983	androolloyd	0xLoris,quantymacro	androolloyd.hl	@hypurrfi | @lastdotnet | reverse engineering the house of all finance | The strongest deterrent is an overwhelming show of force.
1	1045	jparklev	quantymacro	Josh Levine	collaborator, serial grasper | co-founder sense | formerly: architect @MakerDAO
