score	followers	handle	name	bio	source	hits
7	15168	Bluedeerc	Blue Deer	Options surface analysis. Dealer positioning. Market structure. Institutional-grade research for the people actually trading it. Equidamus M	B7,B7	\b(vol(atility)?\s*(surface|tr=+3,\b(options?\s+(trader|trading|=+3,\b(institutional[- ]grade|rese=+1
7	582	spxudi	quantago	blissfully unemployed. prev. derivs quant at a hedge fund you’ve never heard of. it’s not a loss if you haven’t been liquidated.	B8,B8	\bquant(s|itative)?\b=+3,\b(derivs?|derivatives?)\b=+2,\b(hedge\s*fund)\b=+2
6	9929	fabiocatalao_	Fabio Catalão	Physicist II Data Analyst II @paradex trader II                       Falo sobre estratégias de investimento, IA e hacks de vida.	B6,B6	\b(data\s*analyst|physicist|ri=+2,\b(paradex|thalex|deribit|laev=+2,\b(institutional[- ]grade|rese=+1,@\s*paradex|@\s*ThalexGlobal|@=+1
4	61353	Han_Akamatsu	Han Akamatsu 赤松	Independent Technical Market Analyst | Focus on price structure | Gamma exposure | Dealer Positioning | & Asymmetric Equity Setups.	Q2	\b(vol(atility)?\s*(surface|tr=+3,\b(institutional[- ]grade|rese=+1
3	183004	vooi_io	vooi	Trade perps cross-venue | Multi-DEX aggregator | Funding Arb | Backed by @YZiLabs | VOOI Ultra, Public Beta - LIVE	Q3	\b(MEV|searcher|arb(itrage)?\s=+3
3	27513	options_insight	Imran Lakha | Options Insight	25y options trading veteran  I've helped hundreds grow and protect their portfolios  Free Masterclass 👉 https://t.co/xz95xdtdHE	B1	\b(options?\s+(trader|trading|=+3
3	8235	Autonomous_Chad	Quant Chad	Crunching numbers in prediction markets. Betting against the herd. Quant @ZEITFinance	Q4	\bquant(s|itative)?\b=+3
3	7076	D2_Finance	D2 Finance	Institutional-grade Derivatives Strategies for DeFi  | Stablecoin, BTC, ETH, tokenized derivative strategies since 2023   | Real Risk-adjust	B3	\b(derivs?|derivatives?)\b=+2,\b(institutional[- ]grade|rese=+1
3	3749	fullvaluedan	FullValueDan.dime	Head of $DIME TV @paradex | Leading DimeTV streams & creators | Ex-Disney Janitor	B6,B6,B6	\b(paradex|thalex|deribit|laev=+2,@\s*paradex|@\s*ThalexGlobal|@=+1
3	1159	FvckYourHedge	(Aladhi) 🕯️ 🕳️	Options trading📖 O.F & DOM °Volatility Risk P.° $NQ_F $ES_F $ZB_F $BTC $ETH  https://t.co/UYnQTDEGDf Class ‘19 Retard algo MM Trader	B1,B1,B7,B7,B7,B7	\b(options?\s+(trader|trading|=+3
