
=== INNER (9) ===
handle	followers	ff	age	verified	url	location	captured	latest_capture	verdict	needs_check
@Bluedeerc	15168	0.009	2316d	✓	✓	—	2	52d	CORE,prof:2/4,ff:influencer,aged:5y+,caps:2	activity,engagement-rate,cadence
@spxudi	582	0.869	1415d	—	—	paris, france	2	4d	micro,prof:1/4,ff:reciprocal,aged:2y+,caps:2	engagement-rate,cadence
@fabiocatalao_	9929	0.076	4552d	✓	✓	 	2	6d	peer,prof:4/4,ff:authority,aged:5y+,caps:2	engagement-rate,cadence
@Han_Akamatsu	61353	0.098	2963d	✓	✓	Heatseeker Acce	1	91d	CORE,prof:4/4,ff:authority,aged:5y+,caps:1	activity,engagement-rate,cadence
@options_insight	27513	0.035	2804d	✓	✓	London, England	1	5d	CORE,prof:4/4,ff:influencer,aged:5y+,caps:1	engagement-rate,cadence
@Autonomous_Chad	8235	0.039	766d	✓	✓	—	1	3d	peer,prof:3/4,ff:influencer,aged:2y+,caps:1	engagement-rate,cadence
@TokensWolf	1090	0.794	1990d	—	—	—	1	6d	peer,prof:1/4,ff:peer,aged:5y+,caps:1	engagement-rate,cadence
@FvckYourHedge	1159	0.629	2271d	✓	✓	—	6	0d	peer,prof:3/4,ff:peer,aged:5y+,caps:6	engagement-rate,cadence
@burningpremium	367	0.55	5241d	✓	✓	Istanbul, TR \ 	2	54d	micro,prof:4/4,ff:peer,aged:5y+,caps:2	activity,engagement-rate,cadence

=== MIDDLE (top 26) ===
handle	followers	ff	age	verified	url	location	captured	latest_capture	verdict	needs_check
@D2_Finance	7076	0.067	847d	✓	✓	On-chain	1	38d	peer,prof:4/4,ff:authority,aged:2y+,caps:1	activity,engagement-rate,cadence
@cedeflow	430	0.03	60d	✓	✓	—	1	39d	micro,prof:3/4,ff:influencer,fresh<3m,caps:1	activity,engagement-rate,cadence
@ExitLiqCapital	35042	0.045	5154d	✓	✓	Miami Beach, FL	1	10d	CORE,prof:4/4,ff:influencer,aged:5y+,caps:1	engagement-rate,cadence
@blackjack_god	378	1.008	128d	✓	—	—	1	0d	micro,prof:2/4,ff:reciprocal,new:3m+,caps:1	engagement-rate,cadence
@derivativemonky	3890	0.263	405d	✓	✓	Cason Shrine Ca	3	2d	peer,prof:4/4,ff:authority,aged:1y+,caps:3	engagement-rate,cadence
@LilQwantXBT	3017	0.534	1184d	✓	—	—	3	6d	peer,prof:2/4,ff:peer,aged:2y+,caps:3	engagement-rate,cadence
@sz8ng	1850	0.428	1398d	✓	—	New York, USA	1	84d	peer,prof:3/4,ff:peer,aged:2y+,caps:1	activity,engagement-rate,cadence
@Gravity5ucks	9345	0.114	5857d	✓	—	—	1	38d	peer,prof:2/4,ff:authority,aged:5y+,caps:1	activity,engagement-rate,cadence
@bas3dp0tat6	4124	0.173	1813d	✓	—	—	1	39d	peer,prof:1/4,ff:authority,aged:2y+,caps:1	activity,engagement-rate,cadence
@kshitizkapoor_	8430	0.098	1826d	✓	✓	London, England	1	132d	peer,prof:4/4,ff:authority,aged:5y+,caps:1	activity,engagement-rate,cadence
@Andre_Dragosch	19765	0.159	3583d	✓	✓	Frankfurt am Ma	1	123d	CORE,prof:4/4,ff:authority,aged:5y+,caps:1	activity,engagement-rate,cadence
@kingfisher_btc	60803	0.005	2036d	✓	✓	Matching Engine	10	24d	CORE,prof:4/4,ff:influencer,aged:5y+,caps:10	engagement-rate,cadence
@Outcomexyz	16453	0.003	530d	—	✓	—	1	11d	CORE,prof:3/4,ff:influencer,aged:1y+,caps:1	engagement-rate,cadence
@bored2boar	25013	0.022	756d	✓	✓	More alpha →	1	67d	CORE,prof:4/4,ff:influencer,aged:2y+,caps:1	activity,engagement-rate,cadence
@EricCLFung	19988	0.46	6221d	✓	✓	Hong Kong	1	47d	CORE,prof:4/4,ff:peer,aged:5y+,caps:1	activity,engagement-rate,cadence
@DextersSolab	12818	0.034	580d	✓	✓	Alpha TG chan	1	51d	CORE,prof:4/4,ff:influencer,aged:1y+,caps:1	activity,engagement-rate,cadence
@PredictParity	5103	0.0	248d	✓	✓	New York, NY	1	67d	peer,prof:4/4,ff:influencer,new:3m+,caps:1	activity,engagement-rate,cadence
@traidingfloor	5009	0.005	752d	✓	✓	—	1	0d	peer,prof:3/4,ff:influencer,aged:2y+,caps:1	engagement-rate,cadence
@LorisTools	3731	0.001	236d	✓	✓	Trade Funding A	2	16d	peer,prof:4/4,ff:influencer,new:3m+,caps:2	engagement-rate,cadence
@arcxtrade	997	0.026	158d	✓	✓	—	2	100d	micro,prof:3/4,ff:influencer,new:3m+,caps:2	activity,engagement-rate,cadence
@options_matrix	136	0.243	82d	✓	✓	—	1	39d	micro,prof:3/4,ff:authority,fresh<3m,caps:1	activity,engagement-rate,cadence
@FundingRatesGuy	44	3.477	3551d	—	—	—	1	30d	micro,prof:1/4,ff:reciprocal,aged:5y+,caps:1	engagement-rate,cadence
@mahera777	4838	0.118	1202d	✓	✓	—	1	85d	peer,prof:3/4,ff:authority,aged:2y+,caps:1	activity,engagement-rate,cadence
@adiix_official	19362	0.006	594d	✓	✓	alpha here	1	25d	CORE,prof:4/4,ff:influencer,aged:1y+,caps:1	engagement-rate,cadence
@gaah_im	13072	0.053	1828d	✓	✓	Brazil	1	5d	CORE,prof:4/4,ff:authority,aged:5y+,caps:1	engagement-rate,cadence
@jeg6322	11599	0.371	2926d	✓	✓	—	1	55d	CORE,prof:3/4,ff:peer,aged:5y+,caps:1	activity,engagement-rate,cadence
