coin_id,symbol,name,snapshot_date,price_usd,market_cap_usd,total_volume_usd,market_cap_rank
bitcoin,btc,Bitcoin,2026-03-27,65873,1317695825154,53064847393,1
ethereum,eth,Ethereum,2026-03-27,1982.13,239223982356,19146951112,2
tether,usdt,Tether,2026-03-27,0.999248,184076458440,80600936936,3
binancecoin,bnb,BNB,2026-03-27,609.49,83098394458,1092454103,4
ripple,xrp,XRP,2026-03-27,1.32,81104524020,2588922902,5
usd-coin,usdc,USDC,2026-03-27,0.999723,77746604991,8578527527,6
solana,sol,Solana,2026-03-27,82.42,47169247600,3710355090,7
tron,trx,TRON,2026-03-27,0.31011,29380863046,683844116,8
figure-heloc,figr_heloc,Figure Heloc,2026-03-27,1.03,16726835395,16671298,9
dogecoin,doge,Dogecoin,2026-03-27,0.08967,13772409650,884806806,10
usds,usds,USDS,2026-03-27,0.999511,11438429106,38230688,11
whitebit,wbt,WhiteBIT Coin,2026-03-27,50.99,10882331741,62327612,12
bitcoin-cash,bch,Bitcoin Cash,2026-03-27,466.12,9325322027,371068021,13
hyperliquid,hype,Hyperliquid,2026-03-27,38.43,9155533175,236147565,14
cardano,ada,Cardano,2026-03-27,0.245412,9042599291,490471343,15
leo-token,leo,LEO Token,2026-03-27,9.56,8808702367,670106,16
chainlink,link,Chainlink,2026-03-27,8.5,6019988110,399140517,17
monero,xmr,Monero,2026-03-27,326.09,6015191278,84328411,18
ethena-usde,usde,Ethena USDe,2026-03-27,0.999082,5902930988,118462988,19
stellar,xlm,Stellar,2026-03-27,0.1674,5530041258,116788790,20
canton-network,cc,Canton,2026-03-27,0.140975,5378204001,11797309,21
usd1-wlfi,usd1,USD1,2026-03-27,0.999612,4418111871,1418932897,22
dai,dai,Dai,2026-03-27,0.999526,4320691087,359018594,23
litecoin,ltc,Litecoin,2026-03-27,53.39,4111102813,370917335,24
rain,rain,Rain,2026-03-27,0.00834874,3992882073,34543997,25
paypal-usd,pyusd,PayPal USD,2026-03-27,0.999833,3875838437,104644845,26
hedera-hashgraph,hbar,Hedera,2026-03-27,0.088874,3846930451,70219629,27
memecore,m,MemeCore,2026-03-27,2.17,3786318739,14512200,28
avalanche-2,avax,Avalanche,2026-03-27,8.74,3771054649,324403514,29
zcash,zec,Zcash,2026-03-27,214.5,3565405090,239803220,30
sui,sui,Sui,2026-03-27,0.872181,3399686448,351149125,31
shiba-inu,shib,Shiba Inu,2026-03-27,5.77e-06,3396283169,108064240,32
bittensor,tao,Bittensor,2026-03-27,320.03,3072985424,526279925,33
crypto-com-chain,cro,Cronos,2026-03-27,0.07083,2996124437,15144230,34
the-open-network,ton,Toncoin,2026-03-27,1.22,2989990958,99460743,35
world-liberty-financial,wlfi,World Liberty Financial,2026-03-27,0.096614,2777111181,87428608,36
hashnote-usyc,usyc,Circle USYC,2026-03-27,1.12,2626787289,223875,37
tether-gold,xaut,Tether Gold,2026-03-27,4503.12,2519458047,568881088,38
pax-gold,paxg,PAX Gold,2026-03-27,4504.63,2315393678,308003520,39
mantle,mnt,Mantle,2026-03-27,0.674223,2210159754,37332542,40
polkadot,dot,Polkadot,2026-03-27,1.28,2139693321,286779154,41
uniswap,uni,Uniswap,2026-03-27,3.38,2138541036,186770846,42
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,2026-03-27,1.0,2133529282,0.0,43
global-dollar,usdg,Global Dollar,2026-03-27,0.999788,1798754977,47013735,44
falcon-finance,usdf,Falcon USD,2026-03-27,0.997741,1746418982,1136005,45
pi-network,pi,Pi Network,2026-03-27,0.172534,1710471275,23689764,46
okb,okb,OKB,2026-03-27,81.27,1706298238,17156245,47
aster-2,aster,Aster,2026-03-27,0.659734,1620509369,121175559,48
sky,sky,Sky,2026-03-27,0.069604,1607253056,7990849,49
htx-dao,htx,HTX DAO,2026-03-27,1.7e-06,1554459511,16462694,50
near,near,NEAR Protocol,2026-03-27,1.17,1511887038,259461133,51
aave,aave,Aave,2026-03-27,98.12,1490010691,261287991,52
ripple-usd,rlusd,Ripple USD,2026-03-27,1.0,1406465843,130791774,53
pepe,pepe,Pepe,2026-03-27,3.27e-06,1377628344,259925290,54
bitget-token,bgb,Bitget Token,2026-03-27,1.94,1356577381,21151044,55
ondo-finance,ondo,Ondo,2026-03-27,0.272479,1326971133,199867152,56
bfusd,bfusd,BFUSD,2026-03-27,0.999001,1318812506,2296104,57
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,2026-03-27,1.12,1310730349,1211081,58
ethereum-classic,etc,Ethereum Classic,2026-03-27,8.06,1258025268,87620970,59
internet-computer,icp,Internet Computer,2026-03-27,2.22,1222439841,40066092,60
gatechain-token,gt,Gate,2026-03-27,6.44,1133103428,3252814,61
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,2026-03-27,1.098,1090331312,0.0,62
kucoin-shares,kcs,KuCoin,2026-03-27,7.8,1030776218,5731934,63
quant-network,qnt,Quant,2026-03-27,70.67,1027862623,13841283,64
pump-fun,pump,Pump.fun,2026-03-27,0.00170306,1004723732,65021285,65
