# Per-keyframe SSIM scores (lower = needs more work at this timestamp)
  t=0.0s  ssim=0.999976
  t=2.0s  ssim=0.919332
  t=4.0s  ssim=0.933404
  t=6.0s  ssim=0.975251
  t=8.0s  ssim=0.922089
  t=10.0s  ssim=0.927876
  t=12.0s  ssim=0.941365
  t=14.0s  ssim=0.981754
  t=16.0s  ssim=0.952863
  t=18.0s  ssim=0.952136
  t=20.0s  ssim=0.919190
  t=22.0s  ssim=0.927348
  t=24.0s  ssim=0.919069
  t=26.0s  ssim=0.906705
  t=28.0s  ssim=0.900238
  t=30.0s  ssim=0.899395
  t=32.0s  ssim=0.970241
  t=34.0s  ssim=0.970736
  t=36.0s  ssim=0.977227
  t=38.0s  ssim=0.972870
  t=40.0s  ssim=0.971495
  t=42.0s  ssim=0.967173
  t=44.0s  ssim=0.964553
  t=46.0s  ssim=0.955872
  t=48.0s  ssim=0.943620
  t=50.0s  ssim=0.929267
  t=52.0s  ssim=0.926399
  t=54.0s  ssim=0.959393
  t=56.0s  ssim=0.940641
  t=58.0s  ssim=0.938931
  t=60.0s  ssim=0.939062
  t=62.0s  ssim=0.935685
  t=64.0s  ssim=0.932229
  t=66.0s  ssim=0.909121
  t=68.0s  ssim=0.937241
  t=70.0s  ssim=0.921914
  t=72.0s  ssim=0.919682
  t=74.0s  ssim=0.915750
  t=76.0s  ssim=0.919060
  t=78.0s  ssim=0.965795
  t=80.0s  ssim=0.893666
  t=82.0s  ssim=0.903207
  t=84.0s  ssim=0.881778
  t=86.0s  ssim=0.962294
  t=88.0s  ssim=0.970938
  t=90.0s  ssim=0.958055
  t=92.0s  ssim=0.925002
  t=94.0s  ssim=0.935951
  t=96.0s  ssim=0.939017
  t=98.0s  ssim=0.927458
  t=100.0s  ssim=0.940598
  t=102.0s  ssim=0.923167
  t=104.0s  ssim=0.924465
  t=106.0s  ssim=0.998656
  t=108.0s  ssim=0.966367
  t=110.0s  ssim=0.966836
  t=112.0s  ssim=0.968461
  t=114.0s  ssim=0.999786
  t=116.0s  ssim=0.915729
  t=118.0s  ssim=0.957546
  t=120.0s  ssim=0.913558
  t=122.0s  ssim=0.949588
  t=124.0s  ssim=0.948226
  t=126.0s  ssim=0.950181
  t=128.0s  ssim=0.950777
  t=130.0s  ssim=0.945483
  t=132.0s  ssim=0.954938
  t=134.0s  ssim=0.999416
  t=136.0s  ssim=0.969147
  t=138.0s  ssim=0.961939
  t=140.0s  ssim=0.936970
  t=142.0s  ssim=0.873476
  t=144.0s  ssim=0.983881
  t=146.0s  ssim=0.955709
  t=148.0s  ssim=0.925720
  t=150.0s  ssim=0.929593
  t=152.0s  ssim=0.904733
  t=154.0s  ssim=0.918517
  t=156.0s  ssim=0.915882
  t=158.0s  ssim=0.998900
  t=160.0s  ssim=0.943427
  t=162.0s  ssim=0.911526
  t=164.0s  ssim=0.910408
  t=166.0s  ssim=0.910427
