# Per-keyframe SSIM scores (lower = needs more work at this timestamp)
  t=0.00s  ssim=0.988133
  t=2.00s  ssim=0.842684
  t=4.00s  ssim=0.908738
  t=6.00s  ssim=0.676394
  t=8.00s  ssim=0.879492
  t=10.00s  ssim=0.799574
  t=12.00s  ssim=0.856349
  t=14.00s  ssim=0.808858
  t=16.00s  ssim=0.927292
  t=18.00s  ssim=0.710707
  t=20.00s  ssim=0.604719
  t=22.00s  ssim=0.713815
  t=24.00s  ssim=0.753452
  t=26.00s  ssim=0.848298
  t=28.00s  ssim=0.639945
  t=30.00s  ssim=0.625268
  t=32.00s  ssim=0.829272
  t=34.00s  ssim=0.902784
  t=36.00s  ssim=0.960734
  t=38.00s  ssim=0.750581
  t=40.00s  ssim=0.661053
  t=42.00s  ssim=0.745520
  t=44.00s  ssim=0.664556
  t=46.00s  ssim=0.696431
  t=48.00s  ssim=0.800892
  t=50.00s  ssim=0.779191
  t=52.00s  ssim=0.756996
  t=54.00s  ssim=0.600611
  t=56.00s  ssim=0.576712
  t=58.00s  ssim=0.554759
  t=60.00s  ssim=0.542723
  t=62.00s  ssim=0.993897
  t=64.00s  ssim=0.974303
  t=66.00s  ssim=0.972062
